time(h:m:s),Pressure,Temperature,Humidity
01:54:47,1011.83,16.4,38.6973
01:54:48,1011.75,16.4,38.4629
01:54:48,1011.79,16.41,38.9541
01:54:49,1011.86,16.42,38.4199
01:54:49,1011.83,16.42,38.7207
01:54:49,1011.8,16.42,38.6309
01:54:49,1011.85,16.44,38.5332
01:54:49,1011.81,16.42,38.8438
01:54:49,1011.75,16.44,38.4893
01:54:49,1011.87,16.45,38.6338
01:54:49,1011.82,16.45,38.6348
01:54:49,1011.83,16.44,38.834
01:54:49,1011.84,16.45,38.3779
01:54:49,1011.83,16.46,38.4463
01:54:49,1011.91,16.46,38.6016
01:54:49,1011.94,16.46,38.7354
01:54:49,1011.83,16.46,38.6572
01:54:49,1011.84,16.46,38.5127
01:54:49,1011.73,16.46,38.2119
01:54:49,1011.87,16.46,38.167
01:54:49,1011.9,16.47,38.1787
01:54:49,1011.9,16.47,38.624
01:54:49,1011.85,16.47,38.3789
01:54:49,1011.89,16.47,38.5469
01:54:49,1011.86,16.47,38.5918
01:54:49,1011.85,16.47,38.5244
01:54:49,1011.87,16.48,38.5029
01:54:49,1011.8,16.47,38.2344
01:54:49,1011.89,16.48,38.5146
01:54:49,1011.88,16.47,38.6465
01:54:49,1011.91,16.47,38.0566
01:54:49,1011.84,16.46,38.7021
01:54:49,1011.82,16.47,38.3457
01:54:49,1011.87,16.48,38.3359
01:54:49,1011.89,16.47,38.7812
01:54:49,1011.92,16.48,38.5479
01:54:50,1011.85,16.47,38.4238
01:54:50,1011.89,16.48,38.5254
01:54:50,1011.91,16.47,38.6143
01:54:50,1011.82,16.47,38.123
01:54:50,1011.87,16.48,38.6699
01:54:50,1011.92,16.48,38.5586
01:54:50,1011.82,16.47,38.3564
01:54:50,1011.88,16.47,38.7354
01:54:50,1011.84,16.48,38.6035
01:54:50,1011.88,16.48,38.3594
01:54:50,1011.84,16.46,38.4238
01:54:50,1011.92,16.48,38.4805
01:54:50,1011.87,16.48,38.6367
01:54:50,1011.84,16.48,38.626
01:54:50,1011.92,16.48,38.5811
01:54:50,1011.88,16.48,38.5264
01:54:50,1011.88,16.48,38.7158
01:54:50,1011.87,16.48,38.5146
01:54:50,1011.9,16.48,38.7266
01:54:50,1011.88,16.48,38.5371
01:54:50,1011.85,16.48,38.4932
01:54:50,1011.87,16.48,38.5703
01:54:50,1011.87,16.48,38.5703
01:54:50,1011.88,16.48,38.3701
01:54:50,1011.89,16.49,38.4932
01:54:50,1011.87,16.48,38.4805
01:54:50,1011.87,16.5,38.1484
01:54:50,1011.88,16.49,38.5039
01:54:50,1011.84,16.49,38.7383
01:54:50,1011.86,16.49,38.5371
01:54:50,1011.85,16.48,38.6377
01:54:51,1011.88,16.48,38.8379
01:54:51,1011.89,16.48,38.6484
01:54:51,1011.84,16.48,38.2471
01:54:51,1011.89,16.49,38.6045
01:54:51,1011.85,16.5,38.6055
01:54:51,1011.88,16.48,38.8047
01:54:51,1011.8,16.49,38.1582
01:54:51,1011.88,16.5,38.4385
01:54:51,1011.82,16.48,38.3369
01:54:51,1011.93,16.48,38.5039
01:54:51,1011.88,16.48,38.3701
01:54:51,1011.9,16.5,38.4385
01:54:51,1011.87,16.5,38.249
01:54:51,1011.87,16.5,38.5498
01:54:51,1011.79,16.5,38.5273
01:54:51,1011.82,16.5,38.1709
01:54:51,1011.83,16.5,38.3496
01:54:51,1011.9,16.5,38.2041
01:54:51,1011.91,16.5,38.6172
01:54:51,1011.84,16.49,38.5039
01:54:51,1011.9,16.5,38.6387
01:54:51,1011.93,16.51,38.4609
01:54:51,1011.91,16.5,38.4727
01:54:51,1011.8,16.5,38.3389
01:54:51,1011.83,16.5,38.8848
01:54:51,1011.93,16.5,38.3936
01:54:51,1011.86,16.5,38.5391
01:54:51,1011.86,16.5,38.8848
01:54:51,1011.8,16.5,38.127
01:54:51,1011.83,16.5,38.8174
01:54:51,1011.89,16.51,38.584
01:54:51,1011.84,16.51,38.3496
01:54:52,1011.91,16.5,38.5059
01:54:52,1011.85,16.5,38.5273
01:54:52,1011.91,16.5,38.4609
01:54:52,1011.93,16.51,38.584
01:54:52,1011.83,16.5,38.5283
01:54:52,1011.91,16.5,38.5391
01:54:52,1011.86,16.5,38.6279
01:54:52,1011.84,16.51,38.7393
01:54:52,1011.89,16.51,38.5615
01:54:52,1011.8,16.5,38.4502
01:54:52,1011.93,16.52,38.3838
01:54:52,1011.78,16.5,38.5615
01:54:52,1011.86,16.51,38.0156
01:54:52,1011.83,16.5,38.7842
01:54:52,1011.84,16.51,38.5059
01:54:52,1011.81,16.51,38.2939
01:54:52,1011.83,16.5,38.7842
01:54:52,1011.86,16.5,38.082
01:54:52,1011.87,16.51,38.4053
01:54:52,1011.8,16.52,38.7852
01:54:52,1011.81,16.51,38.417
01:54:52,1011.89,16.51,38.2158
01:54:52,1011.88,16.52,38.5068
01:54:52,1011.85,16.51,38.7617
01:54:52,1011.93,16.51,38.5166
01:54:52,1011.74,16.51,38.2383
01:54:52,1011.76,16.51,38.4277
01:54:52,1011.87,16.5,38.7275
01:54:52,1011.85,16.52,38.7295
01:54:52,1011.84,16.51,38.2939
01:54:52,1011.82,16.51,38.4502
01:54:52,1011.83,16.52,38.707
01:54:53,1011.87,16.51,38.8174
01:54:53,1011.85,16.52,38.8301
01:54:53,1011.88,16.52,38.4844
01:54:53,1011.8,16.52,38.4062
01:54:53,1011.89,16.52,38.7305
01:54:53,1011.85,16.52,38.4395
01:54:53,1011.83,16.52,38.373
01:54:53,1011.88,16.52,38.5732
01:54:53,1011.8,16.52,38.2617
01:54:53,1011.87,16.53,38.4521
01:54:53,1011.84,16.52,38.875
01:54:53,1011.84,16.52,38.9863
01:54:53,1011.89,16.52,38.7969
01:54:53,1011.87,16.53,38.6084
01:54:53,1011.88,16.52,38.1836
01:54:53,1011.82,16.51,38.5391
01:54:53,1011.81,16.52,38.6191
01:54:53,1011.89,16.52,38.1396
01:54:53,1011.83,16.52,38.707
01:54:53,1011.77,16.51,38.6504
01:54:53,1011.77,16.52,38.7959
01:54:53,1011.79,16.51,38.7178
01:54:53,1011.86,16.52,38.5742
01:54:53,1011.77,16.52,38.1943
01:54:53,1011.84,16.52,38.2402
01:54:53,1011.8,16.52,38.3506
01:54:53,1011.8,16.52,38.6406
01:54:53,1011.85,16.52,38.2393
01:54:53,1011.81,16.51,38.7734
01:54:53,1011.91,16.52,38.7744
01:54:53,1011.86,16.52,38.5742
01:54:53,1011.78,16.52,38.8086
01:54:54,1011.87,16.53,38.542
01:54:54,1011.79,16.53,38.4082
01:54:54,1011.89,16.52,38.418
01:54:54,1011.8,16.52,38.8965
01:54:54,1011.85,16.51,38.5166
01:54:54,1011.79,16.53,38.5635
01:54:54,1011.84,16.54,38.7539
01:54:54,1011.91,16.53,38.0068
01:54:54,1011.75,16.52,38.6963
01:54:54,1011.85,16.53,38.4082
01:54:54,1011.88,16.52,38.6738
01:54:54,1011.87,16.54,38.4531
01:54:54,1011.84,16.53,38.2188
01:54:54,1011.79,16.53,38.6533
01:54:54,1011.81,16.54,38.4854
01:54:54,1011.78,16.52,38.6855
01:54:54,1011.8,16.53,38.2402
01:54:54,1011.75,16.54,38.6533
01:54:54,1011.79,16.53,38.3965
01:54:54,1011.86,16.54,38.3965
01:54:54,1011.83,16.53,38.3525
01:54:54,1011.76,16.53,38.6973
01:54:54,1011.75,16.53,38.3965
01:54:54,1011.8,16.53,38.7754
01:54:54,1011.77,16.53,38.7979
