time(h:m:s),ax,ay,az,anorm,rx,ry,rz,mx(raw),my(raw),mz(raw),mx(calib),my(calib),mz(calib),mx(calib&flt),my(calib&flt),mz(calib&flt),azimuth(calib),azimuth(calib&flt)
01:54:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.6,359.6
01:54:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.6,359.6
01:54:48,0,0,0,0,0,0,0,5.1,-19.5,-107.1,5.1,-19.5,-107.1,0,2.12267e-313,6.79039e-313,74.9432,269.6
01:54:49,-0.013176,-0.894992,-0.42456,0.990674,2.49977,16.157,5.091,6.3,-19.2,-105.3,6.3,-19.2,-105.3,0,2.12267e-313,2.54707e-313,71.434,269.6
01:54:49,0.025864,-0.938424,-0.474336,1.05181,3.53626,19.9982,9.99908,5.7,-19.8,-105,5.7,-19.8,-105,0,2.12267e-313,2.12267e-313,73.54,269.6
01:54:49,0.052948,-0.99064,-0.542168,1.13054,4.54227,22.7723,14.6938,6,-20.7,-105.6,6,-20.7,-105.6,0,2.12267e-313,4.32788e-315,73.4355,269.6
01:54:49,0.071248,-1.0775,-0.590968,1.23099,3.29238,22.6808,17.9252,5.1,-20.7,-105,5.1,-20.7,-105,0,6.77666e-317,6.7586e-317,75.7593,269.6
01:54:49,0.240096,-1.11118,-0.604144,1.28738,-1.52425,17.8642,6.58476,7.5,-21.3,-105,7.5,-21.3,-105,0,6.77663e-317,6.75857e-317,70.2022,269.6
01:54:49,0.294752,-0.984784,-0.60024,1.19036,-1.52425,7.86513,-11.2795,4.35,-22.05,-105.75,4.35,-22.05,-105.75,0,2.47033e-323,6.75857e-317,78.4401,269.6
01:54:49,0.085888,-0.988932,-0.526552,1.12366,4.14596,-5.60924,-9.48084,4.8,-20.7,-104.7,4.8,-20.7,-104.7,0,2.47033e-323,6.34924e-320,76.5448,269.6
01:54:49,0.039528,-0.948672,-0.282064,0.990505,2.31686,-14.4499,9.7552,6.45,-21.15,-105.15,6.45,-21.15,-105.15,0,2.47033e-323,2.47033e-323,72.6402,269.6
01:54:49,0.217892,-0.821548,-0.159088,0.864712,-1.12794,-19.7543,25.8818,6.6,-18.9,-105.9,6.6,-18.9,-105.9,4.35,-1.53476e-50,-1.53476e-50,70.3505,359.6
01:54:49,0.3904,-0.877912,-0.231312,0.988254,-3.23141,-19.6323,29.3875,6.6,-20.4,-105,6.6,-20.4,-105,4.8,-18.9,-104.7,71.6721,75.35
01:54:49,0.393816,-0.945744,-0.347944,1.08194,-0.30485,-11.5233,21.4005,6.6,-21,-106.5,6.6,-21,-106.5,5.1,-19.2,-105,72.1528,74.7243
01:54:49,0.223992,-0.982588,-0.33306,1.0614,0.213395,11.0051,5.97506,7.35,-20.55,-106.35,7.35,-20.55,-106.35,5.1,-19.5,-105,69.9197,74.9432
01:54:49,0.059048,-0.91256,-0.2196,0.940466,-3.53626,34.0213,-0.18291,4.95,-20.85,-106.05,4.95,-20.85,-106.05,5.1,-19.8,-105,76.2447,75.156
01:54:49,0.072956,-0.873764,-0.206668,0.900832,-4.57275,46.6725,4.32887,6,-19.5,-104.7,6,-19.5,-104.7,5.7,-19.8,-105,72.4973,73.54
01:54:49,0.135664,-0.886696,-0.273768,0.937861,-2.98753,49.0809,9.32841,6.9,-20.1,-105.6,6.9,-20.1,-105.6,6,-20.1,-105,70.6535,72.9792
01:54:49,0.142496,-0.904752,-0.306952,0.965971,-1.31086,45.3312,11.8282,6.45,-21.75,-104.85,6.45,-21.75,-104.85,6,-20.4,-105,73.0822,73.2105
01:54:49,0.12444,-0.894504,-0.290848,0.948797,-0.54873,41.9474,14.5109,6.45,-22.05,-103.35,6.45,-22.05,-103.35,6.3,-20.55,-105,73.2949,72.5561
01:54:49,0.11224,-0.856928,-0.289628,0.911487,-1.00601,38.7769,17.6813,5.4,-19.8,-102.6,5.4,-19.8,-102.6,6.3,-20.55,-105,74.3449,72.5561
01:54:49,0.113216,-0.857904,-0.332816,0.927137,-2.31686,37.3136,19.3275,7.35,-21.75,-102.75,7.35,-21.75,-102.75,6.45,-20.7,-105,70.9283,72.2933
01:54:49,0.07564,-0.881572,-0.333792,0.945678,-4.38984,39.722,18.291,7.05,-21.75,-101.55,7.05,-21.75,-101.55,6.45,-20.7,-105,71.6405,72.2933
01:54:49,0.044408,-0.88328,-0.323544,0.94172,-6.40185,43.4106,14.8767,6.75,-21.45,-102.45,6.75,-21.45,-102.45,6.45,-20.7,-105,72.132,72.2933
01:54:49,0.042944,-0.880352,-0.330864,0.941454,-6.7067,44.4471,13.2915,8.85,-22.05,-100.35,8.85,-22.05,-100.35,6.6,-20.85,-105,67.7314,72.035
01:54:49,0.00122,-0.898896,-0.337208,0.960065,-7.74319,44.0508,14.5413,6.6,-21.3,-101.1,6.6,-21.3,-101.1,6.6,-21,-104.85,72.3839,72.1528
01:54:49,-0.00976,-0.918904,-0.292068,0.964253,-8.23095,43.1363,20.303,6.6,-21.9,-99.9,6.6,-21.9,-99.9,6.6,-21.15,-104.7,72.8288,72.2691
01:54:49,0.036112,-0.920856,-0.30256,0.96996,-8.29192,43.6545,25.0587,7.65,-21.15,-99.75,7.65,-21.15,-99.75,6.6,-21.15,-104.7,69.7148,72.2691
01:54:49,0.03904,-0.941108,-0.385032,1.01757,-10.6393,44.2033,32.5885,9.6,-22.5,-97.2,9.6,-22.5,-97.2,6.6,-21.15,-103.35,66.4937,72.2691
01:54:49,0.037332,-1.0348,-0.489952,1.14554,-16.4619,47.8005,42.0388,8.4,-22.2,-98.7,8.4,-22.2,-98.7,6.6,-21.15,-102.75,68.8744,72.2691
01:54:49,0.171776,-1.08824,-0.555832,1.23399,-17.8642,53.9585,41.4596,8.7,-21.3,-97.2,8.7,-21.3,-97.2,6.75,-21.3,-102.6,67.3824,72.0165
01:54:49,0.392108,-0.92232,-0.528016,1.13279,-17.0106,55.7876,30.6374,8.55,-21.75,-97.65,8.55,-21.75,-97.65,6.9,-21.3,-102.45,68.14,71.6506
01:54:49,0.33184,-0.745176,-0.534848,0.975432,-13.2305,42.9839,22.1321,9.15,-23.25,-97.65,9.15,-23.25,-97.65,7.05,-21.45,-101.55,68.118,71.4058
01:54:49,0.127368,-0.835944,-0.468236,0.966576,-7.95659,26.6744,16.3704,10.05,-21.15,-96.75,10.05,-21.15,-96.75,7.35,-21.45,-101.1,64.184,70.6856
01:54:49,0.166896,-0.952088,-0.434808,1.0599,-2.25589,19.9372,6.7067,9.15,-21.45,-95.55,9.15,-21.45,-95.55,7.35,-21.45,-100.35,66.4982,70.6856
01:54:49,0.278648,-0.9577,-0.462624,1.09948,5.4873,22.1016,-5.33488,8.25,-23.25,-95.85,8.25,-23.25,-95.85,7.65,-21.75,-99.9,70.0633,70.222
01:54:50,0.249368,-0.9394,-0.508984,1.09714,7.49931,25.8513,-7.62125,9.3,-21.9,-95.4,9.3,-21.9,-95.4,8.25,-21.75,-99.75,66.5911,68.8277
