time(h:m:s),Pressure,Temperature,Humidity
21:59:28,900.905,12.92,43.1445
21:59:30,900.775,12.93,43.0674
21:59:30,900.692,12.93,43.0898
21:59:30,900.72,12.93,43.2021
21:59:30,900.644,12.93,43.3145
21:59:30,900.714,12.94,43.4043
21:59:30,900.722,12.95,43.0127
21:59:30,900.729,12.95,42.8232
21:59:30,900.654,12.96,42.9805
21:59:30,900.709,12.96,43.4062
21:59:30,900.654,12.96,43.1152
21:59:30,900.646,12.95,43.249
21:59:30,900.661,12.97,42.8789
21:59:30,900.669,12.97,43.0596
21:59:31,900.669,12.97,43.0264
21:59:31,900.669,12.97,43.4746
21:59:31,900.696,12.97,43.1602
21:59:31,900.621,12.98,43.2402
21:59:31,900.704,12.98,43.0713
21:59:31,900.628,12.98,43.0391
21:59:31,900.656,12.98,43.2861
21:59:31,900.636,12.99,43.4434
21:59:31,900.613,12.97,42.8799
21:59:31,900.636,12.99,43.1396
21:59:31,900.628,12.98,43.4873
21:59:31,900.649,12.98,43.498
21:59:31,900.663,12.99,42.8594
21:59:31,900.636,12.99,42.6914
21:59:31,900.586,12.97,42.7568
21:59:31,900.684,12.98,42.8936
21:59:31,900.684,12.98,43.1396
21:59:31,900.608,12.99,43.2295
21:59:31,900.573,12.98,43.252
21:59:31,900.649,12.98,43.1611
21:59:31,900.671,12.99,43.2969
21:59:31,900.545,12.98,42.7695
21:59:31,900.643,12.99,43.2744
21:59:31,900.601,12.98,43.4092
21:59:31,900.663,12.99,43.2861
21:59:31,900.588,12.99,43.2295
21:59:31,900.698,12.99,42.9375
21:59:31,900.58,12.99,42.915
21:59:31,900.643,12.99,43.3984
21:59:31,900.56,12.99,42.7139
21:59:31,900.568,13,42.9053
21:59:31,900.566,12.98,43.2178
21:59:32,900.623,13,43.1299
21:59:32,900.623,13,43.5898
21:59:32,900.588,12.99,43.3418
21:59:32,900.545,12.98,43.3311
21:59:32,900.616,12.99,43.207
21:59:32,900.58,12.99,43.3193
21:59:32,900.643,12.99,42.9043
21:59:32,900.608,12.99,43.2744
21:59:32,900.603,13,42.7822
21:59:32,900.548,13,43.041
21:59:32,900.631,13,42.7715
21:59:32,900.658,13,43.1641
21:59:32,900.603,13,43.0635
21:59:32,900.56,12.99,43.4541
21:59:32,900.568,13,42.7148
21:59:32,900.56,12.99,43.2744
21:59:32,900.603,13,42.6143
21:59:32,900.525,12.99,43.1396
21:59:32,900.588,12.99,43.3086
21:59:32,900.658,13,43.041
21:59:32,900.643,12.99,43.3193
21:59:32,900.54,13,43.3428
21:59:32,900.603,13,43.0293
21:59:32,900.631,13,43.1641
21:59:32,900.616,12.99,42.8486
21:59:32,900.56,12.99,42.6689
21:59:32,900.596,13,42.7705
21:59:32,900.596,13,42.9502
21:59:32,900.623,13,43.04
21:59:32,900.623,13,43.1855
21:59:32,900.596,13,43.1299
21:59:32,900.658,13,43.2207
21:59:33,900.575,13,42.9395
21:59:33,900.631,13,43.4785
21:59:33,900.596,13,42.9053
21:59:33,900.673,13.01,43.2324
21:59:33,900.666,13.01,43.2988
21:59:33,900.693,13.01,42.8271
21:59:33,900.61,13.01,43.332
21:59:33,900.658,13,43.1865
21:59:33,900.666,13.01,43.332
21:59:33,900.646,13.01,43.0527
21:59:33,900.638,13.01,43.0859
21:59:33,900.673,13.01,42.9971
21:59:33,900.646,13.01,43.3779
21:59:33,900.651,13,43.1074
21:59:33,900.673,13.01,43.2207
21:59:33,900.678,13,43.0508
21:59:33,900.673,13.01,43.2324
21:59:33,900.666,13.01,43.2314
21:59:33,900.658,13,43.0742
21:59:33,900.658,13,43.3887
21:59:33,900.713,13,43.1533
21:59:33,900.638,13.01,43.2539
21:59:33,900.658,13,42.8164
21:59:33,900.61,13.01,42.8389
21:59:33,900.638,13.01,43.2207
21:59:33,900.721,13.01,42.5811
21:59:33,900.666,13.01,43.1982
21:59:33,900.688,13.02,43.1211
21:59:33,900.673,13.01,43.21
